,id,vagueQuestion,clearQuestion,clarifyingQuestion,clarification,answers
321,-5581375458577113243,Who played wonder woman's mother on the tv series?,"Who played Wonder Woman's mother in the episode ""The New Original Wonder Woman"" of the TV series Wonder Woman?",In what episodes?,"""The New Original Wonder Woman"".",Cloris Leachman
322,-3537532053383034652,What is the name of the five pillars?,What is the name of the first pillar of Sunni Islam?,The name of which pillar of Sunni Islam do you want to know or of all five pillars of Shia Islam?,The first.,profession of faith; Shahada
323,-3537532053383034652,What is the name of the five pillars?,What is the name of the second pillar of Sunni Islam?,The name of which pillar of Sunni Islam do you want to know or of all five pillars of Shia Islam?,The second.,Salat; Prayer
324,-3537532053383034652,What is the name of the five pillars?,What is the name of the third pillar of Sunni Islam?,The name of which pillar of Sunni Islam do you want to know or of all five pillars of Shia Islam?,The third.,Almsgiving; Zakat
325,-3537532053383034652,What is the name of the five pillars?,What is the name of the fourth pillar of Sunni Islam?,The name of which pillar of Sunni Islam do you want to know or of all five pillars of Shia Islam?,The fourth.,Fasting; Sawm
326,-3537532053383034652,What is the name of the five pillars?,What is the name of the fifth pillar of Sunni Islam?,The name of which pillar of Sunni Islam do you want to know or of all five pillars of Shia Islam?,The fifth.,Pilgrimage; Hajj
327,-3537532053383034652,What is the name of the five pillars?,What is the name of the five pillars of Shia Islam?,The name of which pillar of Sunni Islam do you want to know or of all five pillars of Shia Islam?,Five pillars of Shia Islam.,"Tawhid, Adl, Nubuwwah, Imamah, and Mi'ad"
328,7376381286915541708,The last episode of have and have nots?,The last episode of have and have nots in season 1?,The last episode of which season?,Season 1.,"""Checkmate"""
329,7376381286915541708,The last episode of have and have nots?,The last episode of have and have nots in season 2?,The last episode of which season?,Season 2.,"""When The Chickens Come Home"""
330,7376381286915541708,The last episode of have and have nots?,The last episode of have and have nots in season 3?,The last episode of which season?,Season 3.,"""Promises Kept"""
331,7376381286915541708,The last episode of have and have nots?,The last episode of have and have nots in season 4?,The last episode of which season?,Season 4.,"""The Veronica Show"""
332,7376381286915541708,The last episode of have and have nots?,The last episode of have and have nots in season 5?,The last episode of which season?,Season 5.,"""Out of Time"""
333,7376381286915541708,The last episode of have and have nots?,The last episode of have and have nots in season 6?,The last episode of which season?,Season 6.,"""Show Not Tell"""
334,7376381286915541708,The last episode of have and have nots?,The last episode of have and have nots in season 7?,The last episode of which season?,Season 7.,"""Bananas Foster"""
335,7992170711337834995,What year did assassins creed black flag come out?,What year did assassins creed black flag originally come out?,Do you mean originally came out or came out for Nintendo Switch?,Originally.,2013
336,7992170711337834995,What year did assassins creed black flag come out?,What year did assassins creed black flag come out for Nintendo Switch?,Do you mean originally came out or came out for Nintendo Switch?,For Nintendo Switch.,2019
337,-3255331908536048481,Where is the cosmopolitan located on the strip?,"Where is the Cosmopolitan located on the strip, in relation to the Bellagio?",Are you asking about it's location in relation to the Bellagio or the side of the strip or the address?,In relation to the Bellagio.,south of the Bellagio
338,-3255331908536048481,Where is the cosmopolitan located on the strip?,What side of the strip is the Cosmopolitan located on?,Are you asking about it's location in relation to the Bellagio or the side of the strip or the address?,The side of the strip.,West
339,-3255331908536048481,Where is the cosmopolitan located on the strip?,What is the address of the Cosmopolitan on the strip?,Are you asking about it's location in relation to the Bellagio or the side of the strip or the address?,Adress.,3708 South Las Vegas Boulevard
340,-3492262109875250492,Who plays the hormone monster in big mouth?,Who plays the Maurice the Hormone Monster in Big Mouth?,Which hormone monster's actor's name do you want to know?,Maurice the Hormone Monster.,Nick Kroll
341,-3492262109875250492,Who plays the hormone monster in big mouth?,Who plays the Hormone Monstress in Big Mouth?,Which hormone monster's actor's name do you want to know?,Hormone Monstress.,Maya Rudolph
342,-3492262109875250492,Who plays the hormone monster in big mouth?,Who plays the Tyler the Hormone Monster in Big Mouth?,Which hormone monster's actor's name do you want to know?,Tyler the Hormone Monster.,John Gemberling
343,-3492262109875250492,Who plays the hormone monster in big mouth?,Who plays the Gavin the Hormone Monster in Big Mouth?,Which hormone monster's actor's name do you want to know?,Gavin the Hormone Monster.,Bobby Cannavale
344,-3492262109875250492,Who plays the hormone monster in big mouth?,Who plays Rick the Hormone Monster in Big Mouth?,Which hormone monster's actor's name do you want to know?,Rick the Hormone Monster.,Nick Kroll
345,-3492262109875250492,Who plays the hormone monster in big mouth?,Who plays Stavros and Bob the Hormone Monster in Big Mouth?,Which hormone monster's actor's name do you want to know?,Stavros and Bob the Hormone Monster.,Fred Armisen
346,-3492262109875250492,Who plays the hormone monster in big mouth?,Who plays Stan the Hormone Monster in Big Mouth?,Which hormone monster's actor's name do you want to know?,Stan the Hormone Monster.,Jon Wengert
347,3813385908531273720,How many episodes of inuyasha are there total?,How many episodes of inuyasha anime television series are there total?,"You asking about Inuyasha anime television, Inuyasha: The Final Act or in total in both?",Inuyasha anime television.,167
348,3813385908531273720,How many episodes of inuyasha are there total?,How many episodes of Inuyasha: The Final Act anime television series are there total?,"You asking about Inuyasha anime television, Inuyasha: The Final Act or in total in both?",Inuyasha: The Final Act.,26
349,3813385908531273720,How many episodes of inuyasha are there total?,How many episodes of inuyasha are there total in both series?,"You asking about Inuyasha anime television, Inuyasha: The Final Act or in total in both?",In total in both.,193
350,6920948055273145126,Where did the song santa claus is coming to town come from?,Which show was the song santa claus is coming to town sung?,Who wrote this song or which show did it come from?,The show.,Eddie Cantor's radio show
351,6920948055273145126,Where did the song santa claus is coming to town come from?,Who wrote the song santa claus is coming to town?,Who wrote this song or which show did it come from?,The writer.,J. Fred Coots and Haven Gillespie
352,6537143104580856755,List of songs from sonu ki titu ki sweety?,What is the first song from the sonu ki titu ki sweety soundtrack?,Which song are you talking about?,The first.,Dil Chori
353,6537143104580856755,List of songs from sonu ki titu ki sweety?,What is the second song from the sonu ki titu ki sweety soundtrack?,Which song are you talking about?,The second.,Subah Subah
354,6537143104580856755,List of songs from sonu ki titu ki sweety?,What is the third song from the sonu ki titu ki sweety soundtrack?,Which song are you talking about?,The third.,Chhote Chhote Peg
355,6537143104580856755,List of songs from sonu ki titu ki sweety?,What is the fourth song from the sonu ki titu ki sweety soundtrack?,Which song are you talking about?,The fourth.,Bom Diggy Diggy
356,6537143104580856755,List of songs from sonu ki titu ki sweety?,What is the fifth song from the sonu ki titu ki sweety soundtrack?,Which song are you talking about?,The fifth.,Kaun Nachdi
357,6537143104580856755,List of songs from sonu ki titu ki sweety?,What is the sixth song from the sonu ki titu ki sweety soundtrack?,Which song are you talking about?,The sixth.,Lakk Mera Hit
358,6537143104580856755,List of songs from sonu ki titu ki sweety?,What is the seventh song from the sonu ki titu ki sweety soundtrack?,Which song are you talking about?,The seventh.,Tera Yaar Hoon Main
359,6537143104580856755,List of songs from sonu ki titu ki sweety?,What is the eighth song from the sonu ki titu ki sweety soundtrack?,Which song are you talking about?,The eighth.,Sweety Slowly Slowly
360,4830900147895398824,How tall is the hollywood tower of terror?,How tall is the height of hollywood tower of terror in Orlando?,What height and about tower in which city do you want to know?,Of tower in Orlando.,199 ft; 61m
361,4830900147895398824,How tall is the hollywood tower of terror?,How tall is the drop of hollywood tower of terror?,What height and about tower in which city do you want to know?,The height of drop.,130 ft; 40 m; 13-story
362,4830900147895398824,How tall is the hollywood tower of terror?,How tall is the view of the park on hollywood tower of terror?,What height and about tower in which city do you want to know?,The height of view of the park.,48 m; 157 ft
363,4830900147895398824,How tall is the hollywood tower of terror?,How tall is the height of hollywood tower of terror in California and Paris?,What height and about tower in which city do you want to know?,Of tower in California and Paris.,40 m; 130 feet
364,4830900147895398824,How tall is the hollywood tower of terror?,How tall is the drop of hollywood tower of terror in California and Paris?,What height and about tower in which city do you want to know?,The height of drop from tower in California and Paris.,124 feet; 38 m
365,8723544795981752146,When did the human genome project start and finish?,When did the human genome project start?,Do you want to know when it has started or ended?,Started.,1990
366,8723544795981752146,When did the human genome project start and finish?,When did the human genome project end?,Do you want to know when it has started or ended?,Ended.,"April 14, 2003"
367,724530900234537693,When did the washington redskins last win the super bowl?,What was the last superbowl won by the washington redskins?,Are you asking about the date or what was that superbowl?,About superbowl.,Super Bowl XXVI; 1992 Super Bowl
368,724530900234537693,When did the washington redskins last win the super bowl?,When was the date the washington redskins last won the super bowl?,Are you asking about the date or what was that superbowl?,About date.,"January 26, 1992"
369,4419645678340736053,Who played dumbledore in the harry potter movies?,Who played dumbledore in the first two harry potter movies?,You mean actor from the first two movies or from the rest of movies?,First two.,Richard Harris; Harris; Richard John Harris
370,4419645678340736053,Who played dumbledore in the harry potter movies?,Who played dumbledore in the third through eighth harry potter movies?,You mean actor from the first two movies or from the rest of movies?,From the third.,Gambon; Sir Michael John Gambon; Michael Gambon
371,-1416392984804670341,When did the song american pie come out?,When was the original release date for the song American Pie?,"You talking about original release, re-release or Madonna's version?",Original release.,November 1971
372,-1416392984804670341,When did the song american pie come out?,When was the song American Pie re-released?,"You talking about original release, re-release or Madonna's version?",Re-release.,November 1991
373,-1416392984804670341,When did the song american pie come out?,When did Madonna's version of the song American Pie come out?,"You talking about original release, re-release or Madonna's version?",Madonna's version.,"March, 2000"
374,5560549200308095313,Where is tunisia football team ranked in the world?,Where is tunisia men football team ranked in the world?,Men or women team?,Men.,27
375,5560549200308095313,Where is tunisia football team ranked in the world?,Where is tunisia women football team ranked in the world?,Men or women team?,Women.,78
376,-902297629425929896,Who voiced beast in new beauty and the beast?,Who voiced beast in new beauty and the beast broadway?,Do you want to know about beauty and the beast broadway or about live action movie?,Beauty and the beast broadway.,Terrence Vaughan Mann; Terrence Mann
377,-902297629425929896,Who voiced beast in new beauty and the beast?,Who voiced beast in new beauty and the beast live action movie?,Do you want to know about beauty and the beast broadway or about live action movie?,Live action movie.,Daniel Jonathan Stevens; Dan Stevens
378,-7785048784558843022,Who sang i left my heart in sanfrancisco?,"Who sang i left my heart in san francisco first, but never recorded it?",Do you mean the one who sang it but never been recorded or the singer after Tennessee Earnie Ford turned it down?,The one who sang it but never been recorded.,Claramae Turner
379,-7785048784558843022,Who sang i left my heart in sanfrancisco?,Who sang i left my heart in san francisco  after Tennessee Earnie Ford turned it down?,Do you mean the one who sang it but never been recorded or the singer after Tennessee Earnie Ford turned it down?,Singer after Tennessee Earnie Ford turned it down.,Tony Bennett
380,-2969814010229912942,Who is the actress that does the trivago advert?,Who is the actress that does the trivago advert in the UK?,"In the UK, Japanes or Malaysian version?",UK.,Miller; Gabrielle Miller
381,-2969814010229912942,Who is the actress that does the trivago advert?,Who is the actress that does the trivago advert in the Japan?,"In the UK, Japanes or Malaysian version?",Japanes.,Strae; Natalie Emmons; Emmons
382,-2969814010229912942,Who is the actress that does the trivago advert?,Who is the actress that does the trivago advert in the Malaysia?,"In the UK, Japanes or Malaysian version?",Malaysian.,Dahlia Shazwan; Shazwan
383,9037508307964370135,Who played the sister in love and basketball?,"Who played the grown sister, Lena Wright, in love and basketball?",Who played grown sister or young one?,Grown sister.,Regina Lee Hall; Hall; Regina Hall
384,9037508307964370135,Who played the sister in love and basketball?,"Who played the young sister, Young Lena, in love and basketball?",Who played grown sister or young one?,Young sister.,Naykia Harris
385,-376437849607934458,What is the eastern-most point of mainland australia?,What is the easternmost point that sits on mainland Australia?,What is the easternmost point that sits on mainland Australia or what is the state?,The point.,Cape Byron
386,-376437849607934458,What is the eastern-most point of mainland australia?,What state is the easternmost point on mainland Australia?,What is the easternmost point that sits on mainland Australia or what is the state?,The state.,New South Wales
387,4049854164546889951,Who has written the patriotic song kadam kadam badhaye ja khushi ke geet gaye ja?,Who has written the lyrics to patriotic song kadam kadam badhaye ja khushi ke geet gaye ja?,Who has written the lyrics or the composition?,The lyrics.,Vanshidhar Shukla
388,4049854164546889951,Who has written the patriotic song kadam kadam badhaye ja khushi ke geet gaye ja?,Who has written the composition to patriotic song kadam kadam badhaye ja khushi ke geet gaye ja?,Who has written the lyrics or the composition?,The composition.,Ram Singh Thakuri
389,-3468228408726391630,When did the colonies became the united states?,When did the colonies became the united states by ratifying the Articles of Confederation?,When did they become USA after which event?,After ratifying the Articles of Confederation.,"March 1, 1781"
390,-3468228408726391630,When did the colonies became the united states?,When did the colonies declare themselves the united states by vote?,When did they become USA after which event?,After the vote.,"July 2, 1776"
391,-3468228408726391630,When did the colonies became the united states?,When did the colonies became the united states by confirming their separation from the British?,When did they become USA after which event?,After the separation from the British.,"September 3, 1783"
392,-3468228408726391630,When did the colonies became the united states?,When did the colonies became the united states with the adoption of the Declaratin of Independence?,When did they become USA after which event?,After the Declaration of Independence.,"July 4, 1776"
393,3514414141586664667,Who narrates the dukes of hazzard tv show?,What character narrates the Dukes of Hazzard TV show?,You mean character or singer?,Character.,The Balladeer
394,3514414141586664667,Who narrates the dukes of hazzard tv show?,What singer narrates The Dukes of Hazzard TV show?,You mean character or singer?,Singer.,Waylon Jennings
395,3036700087778896814,How many teams make the playoffs in the nba?,How many total teams make the playoffs in the nba since 1984?,"You want to know in total since 1984, about Eastern or Western Conference, about the fist season or which period of time?",In total since 1984.,16
396,3036700087778896814,How many teams make the playoffs in the nba?,How many Eastern Conference teams make the playoffs in the nba?,"You want to know in total since 1984, about Eastern or Western Conference, about the fist season or which period of time?",About Eastern Conference.,eight
397,3036700087778896814,How many teams make the playoffs in the nba?,How many Western Conference teams make the playoffs in the nba?,"You want to know in total since 1984, about Eastern or Western Conference, about the fist season or which period of time?",About Western Conference.,eight
398,3036700087778896814,How many teams make the playoffs in the nba?,How many teams made the playoffs in the first NBA season?,"You want to know in total since 1984, about Eastern or Western Conference, about the fist season or which period of time?",About the first season.,eight
399,3036700087778896814,How many teams make the playoffs in the nba?,How many teams made the playoffs from 1951-1953?,"You want to know in total since 1984, about Eastern or Western Conference, about the fist season or which period of time?",In 1951-1953.,six
400,3036700087778896814,How many teams make the playoffs in the nba?,How many teams made the playoffs from 1966-67?,"You want to know in total since 1984, about Eastern or Western Conference, about the fist season or which period of time?",In 1966-1967.,eight
401,-4633591421944677260,Current captain of the england mens test cricket team?,Who was the 80th team captain for the England men's test cricket team?,Who was the captain of the team under what number?,80th.,Joe Root
402,-4633591421944677260,Current captain of the england mens test cricket team?,Who was the 79th team captain for the England men's test cricket team?,Who was the captain of the team under what number?,79th.,Alastair Cook
403,-4633591421944677260,Current captain of the england mens test cricket team?,Who was the 78th team captain for the England men's test cricket team?,Who was the captain of the team under what number?,78th.,Kevin Pietersen
404,2700833210227273840,When did the last season of one tree hill air?,When did the last season of one tree hill begin to air?,When did the last season begin or end to air or over what span did it air?,The begining.,"January 11, 2012"
405,2700833210227273840,When did the last season of one tree hill air?,When did the last season of one tree hill finish airing?,When did the last season begin or end to air or over what span did it air?,The end.,"April 4, 2012"
406,2700833210227273840,When did the last season of one tree hill air?,Over what span did the last season of one tree hill air?,When did the last season begin or end to air or over what span did it air?,The span.,"January 11 – April 4, 2012"
407,-164179465569130523,Who is credited with developing the scientific method?,Who formalized the scientific method?,"Who formalized it, pioneered it, did early work in creating or refined the process to develop it?",Formalized it.,Francis Bacon
408,-164179465569130523,Who is credited with developing the scientific method?,Who pioneered the experimental scientific method?,"Who formalized it, pioneered it, did early work in creating or refined the process to develop it?",Pioneered it.,Galileo Galilei
409,-164179465569130523,Who is credited with developing the scientific method?,Who did early work in creating the scientific method?,"Who formalized it, pioneered it, did early work in creating or refined the process to develop it?",Did early work in cresting it.,Aristotle
410,-164179465569130523,Who is credited with developing the scientific method?,Who refined the process to develop the modern scientific method?,"Who formalized it, pioneered it, did early work in creating or refined the process to develop it?",Refined the process to develop it.,Isaac Newton
411,8602947465332661005,Name of attorney in to kill a mockingbird?,Name of the character of attorney in to kill a mockingbird?,You mean the name of character or of actor of which version?,Character.,Atticus Finch
412,8602947465332661005,Name of attorney in to kill a mockingbird?,Name of actor who played attorney in to kill a mockingbird (1962)?,You mean the name of character or of actor of which version?,1962 version.,Gregory Peck
413,8602947465332661005,Name of attorney in to kill a mockingbird?,Name of actor who played attorney in to kill a mockingbird (2018-2019 original broadway cast)?,You mean the name of character or of actor of which version?,2018-2019 original broadway cast.,Jeff Daniels
414,8602947465332661005,Name of attorney in to kill a mockingbird?,Name of actor who played attorney in to kill a mockingbird (2019-2020 second broadway cast)?,You mean the name of character or of actor of which version?,2019-2020 second broadway cast.,Ed Harris
415,8602947465332661005,Name of attorney in to kill a mockingbird?,Name of actor who played attorney in to kill a mockingbird (2020 third broadway cast)?,You mean the name of character or of actor of which version?,2020 third broadway cast.,Greg Kinnear
416,8602947465332661005,Name of attorney in to kill a mockingbird?,Name of actor who played attorney in to kill a mockingbird (2020 west end cast)?,You mean the name of character or of actor of which version?,2020 west end cast.,Rhys Ifans
417,8602947465332661005,Name of attorney in to kill a mockingbird?,Name of actor who played attorney in to kill a mockingbird (2020 national tour)?,You mean the name of character or of actor of which version?,2020 nation tour.,Richard Thomas
418,7635846020280787536,When did jersey shore family vacation episode 3 air?,"When did Season 1, episode 3 of Jersey Shore Family Vacation air?",About the third episode of which season are you asking?,Season 1.,"April 12, 2018"
419,7635846020280787536,When did jersey shore family vacation episode 3 air?,"When did Season 2, episode 3 of Jersey Shore Family Vacation air?",About the third episode of which season are you asking?,Season 2.,"August 30, 2018"
420,7635846020280787536,When did jersey shore family vacation episode 3 air?,"When did Season 3, episode 3 of Jersey Shore Family Vacation air?",About the third episode of which season are you asking?,Season 3.,"September 5, 2019"
421,6654149506978309894,Who invented the system of latitudes and longitudes in 2nd century a.d?,"Who invented the system of latitudes and longitudes, measuring latitudes using the island of Rhodes in 2nd century a.d?",Who invented the system using the island of Rhodes or based on measurements from equator?,Using the island of Rhodes.,Marinus; Marinus of Tyre
422,6654149506978309894,Who invented the system of latitudes and longitudes in 2nd century a.d?,"Who invented the system of latitudes and longitudes, measuring latitude from the equator in 2nd century a.d?",Who invented the system using the island of Rhodes or based on measurements from equator?,Based on measurements from equator.,Claudius Ptolemy; Ptolemy
423,-6660773783523571339,What is the largest bill made in the us?,What is the largest legal tender bill made in the us?,What type of bill do you mean?,Legal tender bill.,"10,000; $10,000"
424,-6660773783523571339,What is the largest bill made in the us?,What is the largest compound interest treasury note made in the us?,What type of bill do you mean?,Compound interest treasury note.,"1,000; $1,000"
425,-6660773783523571339,What is the largest bill made in the us?,What is the largest interest bearing note made in the us?,What type of bill do you mean?,Interest bearing note.,"5,000; $5,000"
426,-6660773783523571339,What is the largest bill made in the us?,What is the largest silver certificate made in the us?,What type of bill do you mean?,Silver certificate.,"1,000; $1,000"
427,-6660773783523571339,What is the largest bill made in the us?,What is the largest treasury note made in the us?,What type of bill do you mean?,Treasury note.,"1,000; $1,000"
428,-6660773783523571339,What is the largest bill made in the us?,What is the largest national bank note made in the us?,What type of bill do you mean?,National bank note.,"1,000; $1,000"
429,-6660773783523571339,What is the largest bill made in the us?,What is the largest federal reserve note made in the us?,What type of bill do you mean?,Federal reserve note.,"10,000; $10,000"
430,-6660773783523571339,What is the largest bill made in the us?,What is the largest national gold bank note made in the us?,What type of bill do you mean?,National gold bank note.,500; $500
431,-6660773783523571339,What is the largest bill made in the us?,What is the largest gold certificate made in the us?,What type of bill do you mean?,Gold certificate.,"100,000; $100,000"
432,868307689117499388,Who plays the leprechaun in the leprechaun movie?,Who plays the leprechaun in the 1993 Leprechaun movie?,In which part of movie?,1993 Leprechaun movie.,Warwick Davis
433,868307689117499388,Who plays the leprechaun in the leprechaun movie?,Who plays the leprechaun in the Leprechaun Origins movie?,In which part of movie?,Leprechaun Origins movie.,Dylan Postl
434,868307689117499388,Who plays the leprechaun in the leprechaun movie?,Who plays the leprechaun in the leprechaun returns movie?,In which part of movie?,Leprechaun Returns movie.,Linden Porco
435,523741593356588219,Who is the current receiver general of canada?,What government position is also the Receiver General of Canada?,"What government position is also the Receiver General of Canada or who was the 12th, 11th or 10th Receiver General of Canada?",Government position.,Minister of Public Services and Procurement
436,523741593356588219,Who is the current receiver general of canada?,Who was the 12th Receiver General of Canada?,"What government position is also the Receiver General of Canada or who was the 12th, 11th or 10th Receiver General of Canada?",12th Receiver General of Canada.,Carla Qualtrough
437,523741593356588219,Who is the current receiver general of canada?,Who was the 11th Receiver General of Canada?,"What government position is also the Receiver General of Canada or who was the 12th, 11th or 10th Receiver General of Canada?",11th Receiver General of Canada.,Judy Foote
438,523741593356588219,Who is the current receiver general of canada?,Who was the 10th Receiver General of Canada?,"What government position is also the Receiver General of Canada or who was the 12th, 11th or 10th Receiver General of Canada?",10th Receiver General of Canada.,Diane Finley
439,4538565787482403359,When did the first pokemon movie come out?,When did the first pokemon movie come out in Japan?,When did it come out in Japan or in United States?,In Japan.,"July 18, 1998"
440,4538565787482403359,When did the first pokemon movie come out?,When did the first Pokemon movie come out in the United States?,When did it come out in Japan or in United States?,In United States.,"November 10, 1999"
446,7601253788127645769,Who became president of the republic of china after the overthrow of the qing dynasty?,Who was the first formal president of the Republic of China after the overthrow of the Qing Dynasty?,You mean first formal or provisional president?,Formal.,Yuan Shikai
447,7601253788127645769,Who became president of the republic of china after the overthrow of the qing dynasty?,Who was the first provisional president of the Republic of China after the overthrow of the Qing Dynasty?,You mean first formal or provisional president?,Provisional.,Sun Wen; Sun Yat-sen
448,-3007427207807477175,What popular cartoon was created by a risd graduate?,What popular Family Guy spin-off cartoon was created by a RISD graduate?,What popular Family Guy spin-off or cartoon following the Griffin family or popular cartoon in production since 2005?,Family Guy spin-off.,The Cleveland Show
449,-3007427207807477175,What popular cartoon was created by a risd graduate?,What popular cartoon in production since 2005 was created by a RISD graduate?,What popular Family Guy spin-off or cartoon following the Griffin family or popular cartoon in production since 2005?,Cartoon following the Griffin family.,American Dad!
450,-3007427207807477175,What popular cartoon was created by a risd graduate?,What popular cartoon following the Griffin family was created by a RISD grad?,What popular Family Guy spin-off or cartoon following the Griffin family or popular cartoon in production since 2005?,Cartoon in production since 2005.,Family Guy
451,-4832956001585501361,Where is disney land located in the united states?,Where is Disneyland Resort located in the United States?,Where is Disneyland Park or where is it on map or where is Disneyland Resort?,Disneyland Park.,"Anaheim, California, United States"
452,-4832956001585501361,Where is disney land located in the united states?,Where is Disneyland Park located in the United States?,Where is Disneyland Park or where is it on map or where is Disneyland Resort?,Disneyland Park on map.,"Disneyland Resort, 1313 Disneyland Dr, Anaheim, California, United States"
453,-4832956001585501361,Where is disney land located in the united states?,Where on a map is Disneyland Park located in the United States?,Where is Disneyland Park or where is it on map or where is Disneyland Resort?,Disneyland Resort.,33.81°N 117.92°W
454,-1674913842473024073,Which state has the most coastline in the us?,Which state has the most coastline in the continental us?,In the continental or contiguous US?,Continental US.,Alaska
455,-1674913842473024073,Which state has the most coastline in the us?,Which state has the most coastline in the contiguous us?,In the continental or contiguous US?,Contiguous US.,Florida
456,-7077726055134514365,Who composed the pirates of the caribbean theme song?,Who composed the pirates of the caribbean: Curse of the Black Pearl theme song?,Who composed the theme song from which part of Pirates of the Caribbean?,The pirates of the Caribbean: Curse of the Black Pearl.,Klaus Badelt
457,-7077726055134514365,Who composed the pirates of the caribbean theme song?,Who composed the Pirates of the Caribbean: Dead Man's Chest theme song?,Who composed the theme song from which part of Pirates of the Caribbean?,Pirates of the Caribbean: Dead Man's Chest.,Hans Zimmer
458,-7077726055134514365,Who composed the pirates of the caribbean theme song?,Who composed the Pirates of the Caribbean: At World's End theme song?,Who composed the theme song from which part of Pirates of the Caribbean?,Pirates of the Caribbean: At World's End.,Hans Zimmer
459,-7077726055134514365,Who composed the pirates of the caribbean theme song?,Who composed the Pirates of the Caribbean: On Stranger Tides theme song?,Who composed the theme song from which part of Pirates of the Caribbean?,Pirates of the Caribbean: On Stranger Tides.,"Hans Zimmer, Rodrigo y Gabriela"
460,-7077726055134514365,Who composed the pirates of the caribbean theme song?,Who composed the Pirates of the Caribbean: Dead Men Tell No Tales theme song?,Who composed the theme song from which part of Pirates of the Caribbean?,Pirates of the Caribbean: Dead Men Tell No Tales.,Geoff Zanelli
461,4841650249938535070,What is the setting of the play macbeth?,What country is the setting of the play Macbeth?,What country is the setting of the play Macbeth or where in Scotland?,What country.,Scotland
462,4841650249938535070,What is the setting of the play macbeth?,Where in Scotland is the setting of the play Macbeth?,What country is the setting of the play Macbeth or where in Scotland?,Where in Scotland.,"Inverness, Dunsinane"
463,2238637590520776850,When does next episode of my hero academia come out?,When does episode 38 of my hero academia originally come out?,"Which episode: 38, 37 or 36?",Episode 38.,"September 30, 2017"
464,2238637590520776850,When does next episode of my hero academia come out?,When does episode 37 of my hero academia originally come out?,"Which episode: 38, 37 or 36?",Episode 37.,"September 23, 2017"
465,2238637590520776850,When does next episode of my hero academia come out?,When does episode 36 of my hero academia originally come out?,"Which episode: 38, 37 or 36?",Episode 36.,"September 16, 2017"
466,725142630186889333,Who did don mail meditations in an emergency to?,Which character did don mail meditations in an emergency to?,You mean character or actor?,Character.,Anna M. Draper; Anna Draper
467,725142630186889333,Who did don mail meditations in an emergency to?,Which actor did don mail meditations in an emergency to?,You mean character or actor?,Actor.,Melinda Page Hamilton
468,-5669338135924918919,Jon b are you still down release date?,"What is the release date of Jon B's song ""Are U Still Down""?",What is the release date of the song or of the album with the same name?,Song.,"January 13, 1998"
469,-5669338135924918919,Jon b are you still down release date?,When is the release date of the album Are U Still Down: Jon B. Greatest Hits?,What is the release date of the song or of the album with the same name?,Album.,"March 26, 2002"
470,-3259873796234534599,What is the name of the waterfall in zimbabwe?,"What is the name of the waterfall in Chimaniman, zimbabwe?","What is the name of the waterfall in Chimanimani, in mutasa district or of the largest waterfall?",In Chimanimani.,Bridal Veil Falls (Chimanimani); Chimanimani; Bridal Veil Falls
471,-3259873796234534599,What is the name of the waterfall in zimbabwe?,"What is the name of the waterfall in mutasa district, zimbabwe?","What is the name of the waterfall in Chimanimani, in mutasa district or of the largest waterfall?",In mutasa district.,Mutarazi Falls; Mutarazi
472,-3259873796234534599,What is the name of the waterfall in zimbabwe?,What is the name of the largest waterfall in zimbabwe?,"What is the name of the waterfall in Chimanimani, in mutasa district or of the largest waterfall?",Name of the largest one.,"Victoria Falls; Mosi-oa-Tunya; ""The Smoke That Thunders"""
473,-7717176025538546355,Who sang on the banks of the river?,Who sang background on the 1959 song with lyrics on the banks of the river?,Who sang background on the 1959 song or on his 1959 album or lead on the 1959 song?,Background.,"Jiles Perry Richardson; The Big Bopper; Richardson, George Jones, and the session's producer Bill Hall"
474,-7717176025538546355,Who sang on the banks of the river?,Who famously sang on the banks of the Wabash on his 1959 album?,Who sang background on the 1959 song or on his 1959 album or lead on the 1959 song?,On his 1959 album.,Bing Crosby
475,-7717176025538546355,Who sang on the banks of the river?,Who famously sang lead on the 1959 song with lyrics on the banks of the river?,Who sang background on the 1959 song or on his 1959 album or lead on the 1959 song?,Lead on the 1959 song.,Johnny Preston
476,-5811304015331453130,When will the first tesla model 3 be delivered?,When will the first Tesla Model 3 be delivered to Musk himself?,When will it be delivered to Mask himself or to general products units?,To Mask himself.,"July 7, 2017"
477,-5811304015331453130,When will the first tesla model 3 be delivered?,When will the first Tesla Model 3 be delivered as general production units?,When will it be delivered to Mask himself or to general products units?,To general products units.,"July 28, 2017"
478,2889592827007228975,Who decided to use agent orange in vietnam?,What individual decided to use agent orange in vietnam in mid-1961?,"What individual decided to use it in mid-1961, in an operation in November 1961 or what country decided?",In mid-1961.,Ngô Đình Diệm; Ngo Dinh Diem; Diệm
479,2889592827007228975,Who decided to use agent orange in vietnam?,What individual decided to use agent orange in vietnam in an operation in November 1961?,"What individual decided to use it in mid-1961, in an operation in November 1961 or what country decided?",In operation in November 1961.,John F. Kennedy; Jack; Kennedy; John Fitzgerald Kennedy; JFK
480,2889592827007228975,Who decided to use agent orange in vietnam?,What country decided to use agent orange in vietnam?,"What individual decided to use it in mid-1961, in an operation in November 1961 or what country decided?",Country.,United States; United States of America; U.S.; USA
